# Quantum Hall

date: 2015/11/18 13/34/22
current: 1e9A
gate: 0.040V

B (T); Vxx (V); Vxy (V)
4.719999999999999751e-01; 1.393176000000000034e-06; 5.856219999999999218e-07
4.739999999999999769e-01; 1.398665999999999959e-06; 5.854360000000000815e-07
4.749999999999999778e-01; 1.403061999999999968e-06; 5.865920000000000158e-07
4.759999999999999787e-01; 1.407398000000000014e-06; 5.853279999999999590e-07
4.769999999999999796e-01; 1.410606000000000052e-06; 5.853780000000000686e-07
4.789999999999999813e-01; 1.415991999999999859e-06; 5.854099999999999990e-07
4.809999999999999831e-01; 1.420034000000000048e-06; 5.862360000000000357e-07
4.819999999999999840e-01; 1.424419999999999993e-06; 5.852099999999999840e-07
4.829999999999999849e-01; 1.428256000000000001e-06; 5.852739999999999507e-07
4.849999999999999867e-01; 1.432034000000000103e-06; 5.852979999999999779e-07
4.869999999999999885e-01; 1.436806000000000114e-06; 5.850719999999999863e-07
4.879999999999999893e-01; 1.441339999999999908e-06; 5.849500000000000068e-07
4.889999999999999902e-01; 1.444303999999999987e-06; 5.851259999999999946e-07
4.899999999999999911e-01; 1.449233999999999913e-06; 5.850479999999999591e-07
4.919999999999999929e-01; 1.453940000000000008e-06; 5.852140000000000944e-07
4.939999999999999947e-01; 1.458544000000000041e-06; 5.850179999999999781e-07
4.949999999999999956e-01; 1.461223999999999903e-06; 5.849500000000000068e-07
4.959999999999999964e-01; 1.466866000000000001e-06; 5.850560000000000741e-07
4.969999999999999973e-01; 1.470761999999999972e-06; 5.846200000000000032e-07
4.989999999999999991e-01; 1.475046000000000065e-06; 5.847299999999999691e-07
5.010000000000000009e-01; 1.479751999999999948e-06; 5.845240000000000002e-07
5.020000000000000018e-01; 1.483095999999999928e-06; 5.845339999999999586e-07
