# Quantum Hall

date: 2015/11/18 13/44/09
current: 1e9A
gate: 0.080V

B (T); Vxx (V); Vxy (V)
3.439999999999999725e-01; 1.096058000000000086e-06; 7.320700000000000695e-07
3.459999999999999742e-01; 1.100807999999999914e-06; 7.321739999999999757e-07
3.469999999999999751e-01; 1.104615999999999996e-06; 7.322220000000000301e-07
3.479999999999999760e-01; 1.110029999999999941e-06; 7.320479999999999917e-07
3.489999999999999769e-01; 1.114854000000000118e-06; 7.322220000000000301e-07
3.509999999999999787e-01; 1.119753999999999850e-06; 7.323479999999999083e-07
3.529999999999999805e-01; 1.122765999999999983e-06; 7.335159999999999622e-07
3.539999999999999813e-01; 1.128215999999999864e-06; 7.322480000000000067e-07
3.549999999999999822e-01; 1.133228000000000147e-06; 7.320499999999999410e-07
3.569999999999999840e-01; 1.138018000000000020e-06; 7.319740000000000666e-07
3.579999999999999849e-01; 1.142278000000000086e-06; 7.329600000000000729e-07
3.589999999999999858e-01; 1.146443999999999886e-06; 7.320100000000000015e-07
3.609999999999999876e-01; 1.151182000000000018e-06; 7.317999999999999222e-07
3.629999999999999893e-01; 1.156592000000000064e-06; 7.319279999999999615e-07
3.639999999999999902e-01; 1.159882000000000036e-06; 7.319439999999999796e-07
3.649999999999999911e-01; 1.165460000000000061e-06; 7.317460000000000198e-07
3.669999999999999929e-01; 1.169857999999999913e-06; 7.316979999999999654e-07
3.679999999999999938e-01; 1.174910000000000030e-06; 7.318639999999999948e-07
3.699999999999999956e-01; 1.178342000000000110e-06; 7.318279999999999540e-07
3.709999999999999964e-01; 1.183708000000000001e-06; 7.316679999999999843e-07
3.719999999999999973e-01; 1.188832000000000199e-06; 7.314880000000000978e-07
3.739999999999999991e-01; 1.193531999999999917e-06; 7.318099999999999865e-07
3.750000000000000000e-01; 1.197089999999999875e-06; 7.328879999999999912e-07
3.770000000000000018e-01; 1.201741999999999962e-06; 7.318139999999999910e-07
3.780000000000000027e-01; 1.206749999999999923e-06; 7.317200000000000432e-07
3.790000000000000036e-01; 1.211932000000000029e-06; 7.317559999999999782e-07
3.810000000000000053e-01; 1.215844000000000018e-06; 7.329099999999999632e-07
3.830000000000000071e-01; 1.220824000000000053e-06; 7.315779999999999352e-07
3.840000000000000080e-01; 1.225688000000000063e-06; 7.316099999999999715e-07
3.850000000000000089e-01; 1.228875999999999972e-06; 7.315339999999999912e-07
3.870000000000000107e-01; 1.234519999999999913e-06; 7.327140000000000586e-07
3.880000000000000115e-01; 1.239498000000000105e-06; 7.315379999999999957e-07
3.900000000000000133e-01; 1.243933999999999947e-06; 7.315920000000000040e-07
3.910000000000000142e-01; 1.247392000000000110e-06; 7.315220000000000834e-07
3.920000000000000151e-01; 1.252938000000000099e-06; 7.328279999999999232e-07
3.940000000000000169e-01; 1.257357999999999922e-06; 7.314379999999999882e-07
